Gene	Tau	Classification	Specific_parts
Glyma.01G045700	0.2363313423061001	Broad	NA
Glyma.01G045800	0.44710242876246364	Broad	NA
Glyma.01G046000	0.4689401784469406	Broad	NA
Glyma.01G046200	0.260915275334194	Broad	NA
Glyma.01G046300	0.845859236760045	Broad	NA
Glyma.01G046400	0.5888835569473739	Broad	NA
Glyma.01G046500	0.5183999890060994	Broad	NA
Glyma.01G046700	0.3894636606546317	Broad	NA
Glyma.01G046900	0.8488603418590208	Broad	NA
Glyma.01G047000	0.12025146619188767	Broad	NA
Glyma.01G047100	0.3357295243335679	Broad	NA
Glyma.01G047300	0.4882973833599503	Broad	NA
Glyma.01G047400	0.3920698264926891	Broad	NA
Glyma.01G047600	0.5915718027362721	Broad	NA
Glyma.01G047700	0.2159432079906353	Broad	NA
Glyma.01G047900	0.48568216167801587	Broad	NA
Glyma.01G048000	0.6313162139869541	Broad	NA
Glyma.01G048400	0.8052757048716239	Broad	NA
Glyma.01G048500	0.3723364648902328	Broad	NA
Glyma.01G048700	0.4148116878870407	Broad	NA
Glyma.01G049100	0.45948573007643995	Broad	NA
Glyma.01G049900	0.48253377421844407	Broad	NA
Glyma.01G050100	0.47542092612870507	Broad	NA
Glyma.01G050400	0.20748086435097596	Broad	NA
Glyma.01G050500	0.3119171076245711	Broad	NA
Glyma.01G050900	0.6695173186731372	Broad	NA
Glyma.01G051300	0.7376956523921463	Broad	NA
Glyma.01G051400	0.23427070599443428	Broad	NA
Glyma.01G052200	0.20951558353538674	Broad	NA
Glyma.01G052400	0.15245016488884708	Broad	NA
Glyma.01G052600	0.37547047708345427	Broad	NA
Glyma.01G052700	0.5173390801724307	Broad	NA
Glyma.01G052800	0.3133427859999255	Broad	NA
Glyma.01G053200	0.17683725374495654	Broad	NA
Glyma.01G053300	0.3381740182801533	Broad	NA
Glyma.01G053400	0.702961446380677	Broad	NA
Glyma.01G053700	0.2583069910611259	Broad	NA
Glyma.01G053800	0.622701043611722	Broad	NA
Glyma.01G054000	0.41864175911301943	Broad	NA
